TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2020,1,17,10,0,6XX KEEFER ST,Strathcona,493347.3425,5458516.7794
Mischief,2020,1,28,14,0,6XX KEEFER ST,Strathcona,493347.3425,5458516.7794
Mischief,2020,3,3,12,0,6XX KEEFER ST,Strathcona,493347.3425,5458516.7794
Mischief,2020,5,25,10,24,6XX KEEFER ST,Strathcona,493347.3425,5458516.7794
Mischief,2020,10,20,19,40,6XX KEEFER ST,Strathcona,493347.3425,5458516.7794
Mischief,2020,1,26,21,20,6XX KINGHORNE MEWS,Central Business District,490455.4988,5457840.5489
Mischief,2020,6,2,10,0,6XX KINGSWAY AVE,Mount Pleasant,493342.9445,5456073.7383
Mischief,2020,2,3,22,0,6XX LAKEWOOD DR,Grandview-Woodland,495504.5031,5458440.8258
Mischief,2020,5,9,20,0,6XX LAKEWOOD DR,Grandview-Woodland,495504.5031,5458440.8258
Mischief,2020,10,31,23,20,6XX LAKEWOOD DR,Grandview-Woodland,495504.5031,5458440.8258
Mischief,2020,2,4,19,8,6XX LAKEWOOD DR,Grandview-Woodland,495504.5104,5458439.0579
Mischief,2020,6,21,21,20,6XX MAIN ST,Central Business District,492739.2003,5458449.2196
Mischief,2020,11,19,9,17,6XX MAIN ST,Central Business District,492739.2003,5458449.2196
Mischief,2020,12,23,6,30,6XX MAIN ST,Central Business District,492740.5924,5458503.7612
Mischief,2020,11,2,15,11,6XX MAIN ST,Central Business District,492741.1375,5458525.1052
Mischief,2020,7,12,23,24,6XX MAIN ST,Strathcona,492750.2786,5458524.8718
Mischief,2020,7,22,17,33,6XX MALKIN AVE,Strathcona,493231.4808,5458097.6303
Mischief,2020,12,22,19,0,6XX MALKIN AVE,Strathcona,493255.047,5458093.5006
Mischief,2020,11,8,12,15,6XX MARKET HILL,Fairview,491309.7987,5457158.7735
Mischief,2020,8,24,7,0,6XX MOBERLY RD,Fairview,491330.713,5457111.0631
Mischief,2020,9,4,11,59,6XX MOBERLY RD,Fairview,491391.7931,5457132.8544
Mischief,2020,9,5,11,11,6XX MOBERLY RD,Fairview,491391.7931,5457132.8544
