TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,7,4,8,35,9XX STATION ST,Strathcona,492790.7499,5458142.5656
Break and Enter Residential/Other,2022,5,6,20,7,10XX KEEFER ST,Strathcona,494057.3744,5458484.0725
Break and Enter Residential/Other,2022,2,11,15,31,11XX CHARLES ST,Strathcona,494213.5338,5457820.728
Break and Enter Residential/Other,2022,8,9,19,28,11XX KEEFER ST,Strathcona,494183.0293,5458492.9223
Break and Enter Residential/Other,2022,5,22,14,35,12XX RAYMUR AVE,Strathcona,493985.465,5457849.3545
Break and Enter Residential/Other,2022,9,18,23,45,15XX VERNON DR,Strathcona,494276.7411,5457557.1647
Break and Enter Residential/Other,2022,6,24,18,40,17XX COTTRELL ST,Strathcona,493901.1843,5457451.1592
Break and Enter Residential/Other,2022,2,24,11,0,1XX DUNLEVY AVE,Strathcona,493063.919,5458989.993
Break and Enter Residential/Other,2022,8,14,16,0,1XX DUNLEVY AVE,Strathcona,493063.9359,5458990.6275
Break and Enter Residential/Other,2022,1,27,10,0,1XX PRINCESS AVE,Strathcona,493350.4732,5459011.1812
Break and Enter Residential/Other,2022,1,26,10,30,1XX PRINCESS AVE,Strathcona,493350.5691,5459014.0688
Break and Enter Residential/Other,2022,4,19,7,59,1XX PRINCESS AVE,Strathcona,493350.5691,5459014.0688
Break and Enter Residential/Other,2022,3,5,15,19,2XX DUNLEVY AVE,Strathcona,493061.6671,5458907.6233
Break and Enter Residential/Other,2022,7,14,19,12,2XX DUNLEVY AVE,Strathcona,493061.6671,5458907.6233
Break and Enter Residential/Other,2022,7,20,19,0,2XX DUNLEVY AVE,Strathcona,493061.6671,5458907.6233
Break and Enter Residential/Other,2022,6,3,20,30,2XX E HASTINGS ST,Strathcona,492807.2631,5458740.5168
Break and Enter Residential/Other,2022,9,11,22,51,2XX E HASTINGS ST,Strathcona,492807.2631,5458740.5168
Break and Enter Residential/Other,2022,2,8,22,26,2XX E HASTINGS ST,Strathcona,492808.4315,5458740.4877
Break and Enter Residential/Other,2022,2,18,23,0,2XX E HASTINGS ST,Strathcona,492812.1101,5458740.3954
Break and Enter Residential/Other,2022,2,28,10,19,2XX E HASTINGS ST,Strathcona,492847.009,5458739.5216
Break and Enter Residential/Other,2022,7,10,1,0,2XX E HASTINGS ST,Strathcona,492892.638,5458729.2316
Break and Enter Residential/Other,2022,10,20,10,25,3XX E 1ST AVE,Strathcona,493044.8062,5457207.8496
Break and Enter Residential/Other,2022,5,30,2,0,3XX E CORDOVA ST,Strathcona,492922.4174,5458841.6784
Break and Enter Residential/Other,2022,10,13,8,32,3XX E CORDOVA ST,Strathcona,492969.1011,5458830.9823
Break and Enter Residential/Other,2022,3,29,4,0,3XX E CORDOVA ST,Strathcona,493011.3295,5458829.5832
Break and Enter Residential/Other,2022,7,23,17,49,3XX E HASTINGS ST,Strathcona,492973.4393,5458736.0707
Break and Enter Residential/Other,2022,2,14,4,0,3XX E HASTINGS ST,Strathcona,492979.2196,5458726.7517
Break and Enter Residential/Other,2022,4,4,22,0,3XX E PENDER ST,Strathcona,492963.2468,5458627.9799
Break and Enter Residential/Other,2022,8,25,15,0,3XX POWELL ST,Strathcona,492945.4469,5458941.355
Break and Enter Residential/Other,2022,2,8,20,25,3XX POWELL ST,Strathcona,493023.0904,5458929.8124
Break and Enter Residential/Other,2022,6,11,0,56,3XX POWELL ST,Strathcona,493025.2831,5458938.8933
Break and Enter Residential/Other,2022,3,8,13,45,3XX PRINCESS AVE,Strathcona,493344.0156,5458748.212
Break and Enter Residential/Other,2022,5,8,10,58,3XX PRIOR ST,Strathcona,492986.8037,5458230.3189
Break and Enter Residential/Other,2022,1,8,15,25,4XX CAMPBELL AVE,Strathcona,493837.1882,5458700.4892
Break and Enter Residential/Other,2022,2,12,18,7,4XX E HASTINGS ST,Strathcona,493068.3246,5458733.2572
Break and Enter Residential/Other,2022,8,25,3,17,4XX E HASTINGS ST,Strathcona,493068.3246,5458733.2572
